sample	Group
GSM1620759	control
GSM1620760	control
GSM1620761	control
GSM1620762	control
GSM1620763	control
GSM1620764	control
GSM1620765	control
GSM1620766	control
GSM1620767	control
GSM1620768	control
GSM1620769	control
GSM1620770	control
GSM1620771	control
GSM1620772	control
GSM1620773	control
GSM1620774	control
GSM1620775	control
GSM1620776	control
GSM1620777	control
GSM1620778	control
GSM1620779	control
GSM1620780	control
GSM1620781	control
GSM1620782	control
GSM1620783	control
GSM1620784	control
GSM1620785	control
GSM1620786	control
GSM1620787	control
GSM1620788	control
GSM1620789	control
GSM1620790	control
GSM1620791	control
GSM1620792	control
GSM1620793	control
GSM1620794	control
GSM1620795	control
GSM1620796	control
GSM1620797	control
GSM1620798	control
GSM1620799	control
GSM1620800	control
GSM1620801	control
GSM1620802	control
GSM1620803	control
GSM1620804	control
GSM1448335	MI
GSM1448338	MI
GSM1448342	MI
GSM1448350	MI
GSM1448352	MI
GSM1448356	MI
GSM1448360	MI
GSM1448364	MI
GSM1448368	MI
GSM1448371	MI
GSM1448375	MI
GSM1448378	MI
GSM1448380	MI
GSM1448383	MI
GSM1448386	MI
GSM1448389	MI
GSM1448391	MI
GSM1448395	MI
GSM1448398	MI
GSM1448401	MI
GSM1448405	MI
GSM1448409	MI
GSM1448413	MI
GSM1448417	MI
GSM1448421	MI
GSM1448429	MI
GSM1448433	MI
GSM1448437	MI
GSM1448439	MI
GSM1448450	MI
GSM1448452	MI
GSM1448459	MI
GSM1448467	MI
GSM1448468	MI
GSM1448471	MI
GSM1448475	MI
GSM1448479	MI
GSM1448483	MI
GSM1448485	MI
GSM1448489	MI
GSM1448493	MI
GSM1448497	MI
GSM1448501	MI
GSM1448505	MI
GSM1448508	MI
GSM1448516	MI
GSM1448519	MI
GSM1448523	MI
GSM1448526	MI
GSM1448530	MI
GSM1448534	MI
GSM1448538	MI
GSM1448541	MI
GSM1448548	MI
GSM1448552	MI
GSM1448564	MI
GSM1448568	MI
GSM1448572	MI
GSM1448576	MI
GSM1448580	MI
GSM1448584	MI
GSM1448587	MI
GSM1448590	MI
GSM1448594	MI
GSM1448598	MI
GSM1448602	MI
GSM1448606	MI
GSM1448608	MI
GSM1448612	MI
GSM1448615	MI
GSM1448619	MI
GSM1448621	MI
GSM1448625	MI
GSM1448629	MI
GSM1448630	MI
GSM1448634	MI
GSM1448638	MI
GSM1448639	MI
GSM1448642	MI
GSM1448646	MI
GSM1448650	MI
GSM1448654	MI
GSM1448658	MI
GSM1448670	MI
GSM1448680	MI
GSM1448688	MI
GSM1448695	MI
GSM1448699	MI
GSM1448702	MI
GSM1448706	MI
GSM1448710	MI
GSM1448718	MI
GSM1448722	MI
